date,dpt_09,dpt_11,dpt_12,dpt_30,dpt_31,dpt_32,dpt_34,dpt_46,dpt_48,dpt_65,dpt_66,dpt_81,dpt_82,total_occitanie
2018-11-18,3170,12254,7031,30949,41949,5973,58172,5664,3298,5243,23426,7244,10046,214419
2018-11-19,4521,19940,9148,39480,66731,7166,76646,8805,3729,9047,37180,10738,12435,305566
2018-11-20,4514,22268,8920,40673,69058,8229,75904,8209,3614,8004,34706,9918,13545,307562
2018-11-21,4407,18819,9214,37579,69117,7724,74766,8089,3556,8157,33615,9679,12863,297585
2018-11-22,4519,19602,9535,37461,67764,7285,75450,8269,3533,8128,32276,9982,11127,294931
2018-11-23,4941,21488,11069,39447,75780,9433,83275,8831,3756,10231,37268,11270,11951,328740
2018-11-24,5809,23440,12064,41667,81967,9459,90272,10463,3928,10694,39673,12523,12339,354298
2018-11-25,3802,18759,8712,37984,63279,7786,75844,7605,3008,6737,32235,9245,10308,285304
2018-11-26,3918,18003,9779,35770,61467,7617,74642,8043,3424,7392,31744,8653,10639,281091
2018-11-27,3889,18210,9308,35455,60898,7589,72291,7852,4193,7423,34145,9047,11062,281362
2018-11-28,3265,16780,8910,32767,63826,7396,68100,7858,3440,6587,30389,8086,10643,268047
2018-11-29,3280,17178,8538,33623,62833,7499,66835,7472,2798,6632,30442,8516,10355,266001
2018-11-30,4147,18332,10306,37279,72008,7746,76491,8461,3360,8186,39237,10324,11367,307244
2018-12-01,5095,20522,13054,40169,80033,8235,86052,9468,3724,10880,41013,11574,12246,342065
2018-12-02,3470,16503,8342,35810,59777,6528,71708,6223,3063,6576,29761,8215,9601,265577
2018-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-04,3990,17380,7921,31376,64953,6412,62618,6968,2511,6198,29566,8381,9305,257579
2018-12-05,4045,17920,8199,30550,65350,6326,62987,7079,2841,7361,36878,8456,9422,267414
2018-12-06,4793,21372,7920,30088,64425,6309,60955,6203,2390,9799,44639,8585,9158,276636
2018-12-07,5730,23412,9085,33142,71408,7516,67883,8095,2668,14110,50618,10553,9731,313951
2018-12-08,6065,24485,10346,32523,74415,8740,73383,9106,3137,14453,47513,11569,11348,327083
2018-12-09,3125,15312,8054,29485,55916,6521,61370,6501,2324,6351,27858,8221,8530,239568
2018-12-10,3701,15954,7880,27341,57425,6902,54658,6786,2328,5852,25840,8142,8918,231727
2018-12-11,3607,15808,7682,28509,58001,6484,57891,6785,2657,5629,32769,7457,9317,242596
2018-12-12,3470,16028,7720,26407,57872,6934,53396,6398,2156,4995,27525,7880,9015,229796
2018-12-13,3014,15149,7788,26758,57743,6459,55324,6057,2722,6092,27136,7495,9110,230847
2018-12-14,4304,17239,8935,29113,65346,6728,61951,6860,2829,7812,34208,8485,9804,263614
2018-12-15,5186,19181,10074,33447,69970,7608,73504,8267,3414,9734,34739,10486,11199,296809
2018-12-16,3497,14774,7379,32017,54308,6628,56200,5994,2648,6303,28150,7510,9314,234722
2018-12-17,3962,15830,8187,26339,56518,6832,52366,6590,3103,7028,28507,7794,8963,232019
2018-12-18,3708,16356,8129,28232,60045,6900,53856,6903,2768,7247,29334,8193,8612,240283
2018-12-19,4498,16844,9328,29473,61460,6915,55194,6892,2862,7651,31491,8533,9621,250762
2018-12-20,5572,18438,10585,32049,69640,8229,58806,8052,2694,8723,35333,10152,10125,278398
2018-12-21,7703,24159,14061,41858,83924,10467,76697,12199,5059,15282,46319,15162,12938,365828
2018-12-22,13855,34076,24271,57561,106390,16359,101339,20683,8894,34955,67689,25321,18790,530183
2018-12-23,18149,41573,32184,73477,126844,21861,125391,28142,11919,42900,76241,33577,23739,655997
2018-12-24,22935,49684,39923,88273,155852,27466,152238,35278,13714,53022,91625,42126,31288,803424
2018-12-25,19773,43403,33662,73025,133848,23774,124098,29171,11452,46449,80077,34664,25874,679270
2018-12-26,18999,41353,30734,65879,118567,20727,117872,26328,9878,49870,83506,30676,23131,637520
2018-12-27,19636,42785,28685,62229,108896,18341,113134,24553,9538,50983,88361,28401,20888,616430
2018-12-28,20106,43478,27731,63415,110373,17423,114849,24019,8979,52458,96488,25920,19821,625060
2018-12-29,22222,45346,28838,65202,110571,18281,120383,26014,10225,60618,107043,26592,21047,662382
2018-12-30,21727,42422,25687,66471,107317,16851,121766,24951,10430,60326,102934,24212,18413,643507
2018-12-31,26681,49482,29585,77267,137257,22162,153813,29453,12634,71178,131465,29471,23002,793450
